title,text,summary,url,published_at,category,source
Королева Камилла рассказала подруге о промытых Меган Маркл мозгах принца Гарри,Королева Камилла рассказала подруге о промытых Меган Маркл мозгах принца Гарри,Королева Камилла рассказала подруге о промытых Меган Маркл мозгах принца Гарри,https://lenta.ru/news/2026/03/17/koroleva-kamilla-rasskazala-podruge-o-promytyh-megan-markl-mozgah-printsa-garri/,2026-03-17 16:37:45,Из жизни,parsed_rss:lenta
Самыми популярными моделями Jetour в России начали управлять дистанционно,Самыми популярными моделями Jetour в России начали управлять дистанционно,Самыми популярными моделями Jetour в России начали управлять дистанционно,https://lenta.ru/news/2026/03/17/samymi-populyarnymi-modelyami-jetour-v-rossii-teper-mozhno-upravlyat-distantsionno/,2026-03-17 16:35:00,Авто,parsed_rss:lenta
Пассажиров несколько часов держали на холоде из-за угрозы взрыва на борту самолета,Пассажиров несколько часов держали на холоде из-за угрозы взрыва на борту самолета,Пассажиров несколько часов держали на холоде из-за угрозы взрыва на борту самолета,https://lenta.ru/news/2026/03/17/passazhirov-neskolko-chasov-derzhali-na-holode-iz-za-ugrozy-vzryva-na-bortu-samoleta/,2026-03-17 16:31:40,Путешествия,parsed_rss:lenta
Названы защищающие от рака и инфаркта привычки,Названы защищающие от рака и инфаркта привычки,Названы защищающие от рака и инфаркта привычки,https://lenta.ru/news/2026/03/17/nazvany-zaschischayuschie-ot-raka-i-infarkta-privychki/,2026-03-17 16:31:00,Забота о себе,parsed_rss:lenta
Трамп пообещал «что-то» сделать с Кубой,Трамп пообещал «что-то» сделать с Кубой,Трамп пообещал «что-то» сделать с Кубой,https://lenta.ru/news/2026/03/17/tramp-poobeschal-chto-to-sdelat-s-kuboy/,2026-03-17 16:31:00,Мир,parsed_rss:lenta
Вероятность выселения Распутиной из роскошного дома оценили,Вероятность выселения Распутиной из роскошного дома оценили,Вероятность выселения Распутиной из роскошного дома оценили,https://lenta.ru/news/2026/03/17/veroyatnost-vyseleniya-rasputinoy-iz-roskoshnogo-doma-otsenili/,2026-03-17 16:28:00,Экономика,parsed_rss:lenta
Трамп указал на глупую ошибку НАТО в ситуации вокруг Ирана,Трамп указал на глупую ошибку НАТО в ситуации вокруг Ирана,Трамп указал на глупую ошибку НАТО в ситуации вокруг Ирана,https://lenta.ru/news/2026/03/17/nato-iran/,2026-03-17 16:26:00,Мир,parsed_rss:lenta
Угрозы Зеленского отправить депутатов на фронт объяснили,Угрозы Зеленского отправить депутатов на фронт объяснили,Угрозы Зеленского отправить депутатов на фронт объяснили,https://lenta.ru/news/2026/03/17/ugrozy-zelenskogo-otpravit-deputatov-na-front-obyasnili/,2026-03-17 16:23:00,Бывший СССР,parsed_rss:lenta
Российский фигурист Родин будет выступать за Германию,Российский фигурист Родин будет выступать за Германию,Российский фигурист Родин будет выступать за Германию,https://lenta.ru/news/2026/03/17/rossiyskiy-figurist-rodin-budet-vystupat-za-germaniyu/,2026-03-17 16:22:00,Спорт,parsed_rss:lenta
Алла Пугачева вышла на публику в 37-летнем бомбере,Алла Пугачева вышла на публику в 37-летнем бомбере,Алла Пугачева вышла на публику в 37-летнем бомбере,https://lenta.ru/news/2026/03/17/alla-pugacheva-vyshla-na-publiku-v-37-letnem-bombere/,2026-03-17 16:20:00,Ценности,parsed_rss:lenta
Трамп сделал заявление о гибели серого кардинала Ирана,Трамп сделал заявление о гибели серого кардинала Ирана,Трамп сделал заявление о гибели серого кардинала Ирана,https://lenta.ru/news/2026/03/17/tramp-sdelal-zayavlenie-o-gibeli-serogo-kardinala-irana/,2026-03-17 16:18:00,Мир,parsed_rss:lenta
Трамп отреагировал на разочаровавшегося операцией в Иране чиновника,Трамп отреагировал на разочаровавшегося операцией в Иране чиновника,Трамп отреагировал на разочаровавшегося операцией в Иране чиновника,https://lenta.ru/news/2026/03/17/tramp-otreagiroval-na-razocharovavshegosya-operatsiey-v-irane-chinovnika/,2026-03-17 16:17:00,Мир,parsed_rss:lenta
Подозреваемых в похищении сына украинского криминального авторитета объявили в розыск,Подозреваемых в похищении сына украинского криминального авторитета объявили в розыск,Подозреваемых в похищении сына украинского криминального авторитета объявили в розыск,https://lenta.ru/news/2026/03/17/podozrevaemyh-v-pohischenii-syna-ukrainskogo-kriminalnogo-avtoriteta-ob-yavili-v-rozysk/,2026-03-17 16:17:00,Бывший СССР,parsed_rss:lenta
Трамп предсказал скорую отставку Макрона,Трамп предсказал скорую отставку Макрона,Трамп предсказал скорую отставку Макрона,https://lenta.ru/news/2026/03/17/tramp-predskazal-skoruyu-otstavku-makrona/,2026-03-17 16:13:00,Мир,parsed_rss:lenta
В российском аэропорту задержали пассажирку со старинной книгой на немецком языке,В российском аэропорту задержали пассажирку со старинной книгой на немецком языке,В российском аэропорту задержали пассажирку со старинной книгой на немецком языке,https://lenta.ru/news/2026/03/17/v-rossiyskom-aeroportu-zaderzhali-passazhirku-so-starinnoy-knigoy-na-nemetskom-yazyke/,2026-03-17 16:13:00,Путешествия,parsed_rss:lenta
Мать российского бойца добилась аннулирования брака сына после его отправки на СВО,Мать российского бойца добилась аннулирования брака сына после его отправки на СВО,Мать российского бойца добилась аннулирования брака сына после его отправки на СВО,https://lenta.ru/news/2026/03/17/mat-rossiyskogo-boytsa-dobilas-annulirovaniya-braka-syna-posle-ego-otpravki-na-svo/,2026-03-17 16:12:00,Россия,parsed_rss:lenta
«Враг у ворот». Кубу охватили беспорядки. Чего добивается Трамп и может ли он начать новую военную операцию?,«Враг у ворот». Кубу охватили беспорядки. Чего добивается Трамп и может ли он начать новую военную операцию?,«Враг у ворот». Кубу охватили беспорядки. Чего добивается Трамп и может ли он начать новую военную операцию?,https://lenta.ru/news/2026/03/17/cuba/,2026-03-17 16:11:00,Мир,parsed_rss:lenta
Разработчик Bayraktar представил «ответ на Shahed-136» с поддержкой ИИ,Разработчик Bayraktar представил «ответ на Shahed-136» с поддержкой ИИ,Разработчик Bayraktar представил «ответ на Shahed-136» с поддержкой ИИ,https://lenta.ru/news/2026/03/17/razrabotchik-bayraktar-predstavil-otvet-na-shahed-136-s-podderzhkoy-ii/,2026-03-17 16:04:26,Наука и техника,parsed_rss:lenta
Известный российский журналист назвал повод для зависти израильтянам,Известный российский журналист назвал повод для зависти израильтянам,Известный российский журналист назвал повод для зависти израильтянам,https://lenta.ru/news/2026/03/17/izvestnyy-rossiyskiy-zhurnalist-nazval-povod-dlya-zavisiti-izrailtyanam/,2026-03-17 15:56:00,Интернет и СМИ,parsed_rss:lenta
Стало известно об угрозе гибели европейской страны из-за вступления Украины в Евросоюз,Стало известно об угрозе гибели европейской страны из-за вступления Украины в Евросоюз,Стало известно об угрозе гибели европейской страны из-за вступления Украины в Евросоюз,https://lenta.ru/news/2026/03/17/stalo-izvestno-ob-ugroze-gibeli-evropeyskoy-strany-iz-za-vstupleniya-ukrainy-v-evrosoyuz/,2026-03-17 15:56:00,Мир,parsed_rss:lenta
Футболисты Смолов и Мамаев поменяют режим работы своей академии в Дубае,Футболисты Смолов и Мамаев поменяют режим работы своей академии в Дубае,Футболисты Смолов и Мамаев поменяют режим работы своей академии в Дубае,https://lenta.ru/news/2026/03/17/futbolisty-smolov-i-mamaev-pomenyayut-rezhim-raboty-svoey-akademii-v-dubae/,2026-03-17 15:54:00,Спорт,parsed_rss:lenta
Названо время для максимально выгодной покупки автомобиля,Названо время для максимально выгодной покупки автомобиля,Названо время для максимально выгодной покупки автомобиля,https://lenta.ru/news/2026/03/17/nazvano-vremya-dlya-maksimalno-vygodnoy-pokupki-avtomobilya/,2026-03-17 15:49:00,Авто,parsed_rss:lenta
Внучка экс-президента Узбекистана появилась на подиуме,Внучка экс-президента Узбекистана появилась на подиуме,Внучка экс-президента Узбекистана появилась на подиуме,https://lenta.ru/news/2026/03/17/vnuchka-eks-prezidenta-uzbekistana-poyavilas-na-podiume/,2026-03-17 15:46:00,Ценности,parsed_rss:lenta
Израильские туристы подрались с активистами и оскорбили полицию в Бразилии,Израильские туристы подрались с активистами и оскорбили полицию в Бразилии,Израильские туристы подрались с активистами и оскорбили полицию в Бразилии,https://lenta.ru/news/2026/03/17/izrailskie-turisty-podralis-s-aktivistami-i-oskorbili-politsiyu-v-brazilii/,2026-03-17 15:44:00,Путешествия,parsed_rss:lenta
Появилась версия о случившемся с изрезанным 12-летним школьником в Подмосковье,Появилась версия о случившемся с изрезанным 12-летним школьником в Подмосковье,Появилась версия о случившемся с изрезанным 12-летним школьником в Подмосковье,https://lenta.ru/news/2026/03/17/poyavilas-versiya-o-sluchivshemsya-s-izrezannym-12-letnim-shkolnikom-v-podmoskovie/,2026-03-17 15:43:00,Силовые структуры,parsed_rss:lenta
Бывший глава Минстроя российского региона задержан,Бывший глава Минстроя российского региона задержан,Бывший глава Минстроя российского региона задержан,https://lenta.ru/news/2026/03/17/byvshiy-glava-minstroya-rossiyskogo-regiona-zaderzhan/,2026-03-17 15:41:00,Силовые структуры,parsed_rss:lenta
Трамп объявил об уничтожении вооруженных сил Ирана,Трамп объявил об уничтожении вооруженных сил Ирана,Трамп объявил об уничтожении вооруженных сил Ирана,https://lenta.ru/news/2026/03/17/tramp-ob-yavil-ob-unichtozhenii-vooruzhennyh-sil-irana/,2026-03-17 15:40:00,Мир,parsed_rss:lenta
Власти отреагировали на ситуацию с выгнанными на улицу помогающими бойцам СВО россиянками,Власти отреагировали на ситуацию с выгнанными на улицу помогающими бойцам СВО россиянками,Власти отреагировали на ситуацию с выгнанными на улицу помогающими бойцам СВО россиянками,https://lenta.ru/news/2026/03/17/vlasti-otreagirovali-na-situatsiyu-s-vygnannymi-na-ulitsu-pomogayuschimi-boytsam-svo-rossiyankami/,2026-03-17 15:38:00,Россия,parsed_rss:lenta
Курсы доллара и евро выросли,Курсы доллара и евро выросли,Курсы доллара и евро выросли,https://lenta.ru/news/2026/03/17/kursy-dollara-i-evro-vyrosli/,2026-03-17 15:36:00,Экономика,parsed_rss:lenta
Мужчина восемь лет проходил с 12-сантиметровой железной палочкой в горле,Мужчина восемь лет проходил с 12-сантиметровой железной палочкой в горле,Мужчина восемь лет проходил с 12-сантиметровой железной палочкой в горле,https://lenta.ru/news/2026/03/17/muzhchina-vosem-let-prohodil-v-12-santimetrovoy-zheleznoy-palochkoy-v-gorle/,2026-03-17 15:34:55,Из жизни,parsed_rss:lenta
Трамп разгневался на союзников США,Трамп разгневался на союзников США,Трамп разгневался на союзников США,https://lenta.ru/news/2026/03/17/tramp-razgnevalsya-na-soyuznikov-ssha/,2026-03-17 15:34:00,Мир,parsed_rss:lenta
Гинеколог развеяла один распространенный миф о вейпах,Гинеколог развеяла один распространенный миф о вейпах,Гинеколог развеяла один распространенный миф о вейпах,https://lenta.ru/news/2026/03/17/ginekolog-razveyala-odin-rasprostranennyy-mif-o-veypah/,2026-03-17 15:31:00,Забота о себе,parsed_rss:lenta
Представители европейской страны решили не встречать Зеленского у самолета,Представители европейской страны решили не встречать Зеленского у самолета,Представители европейской страны решили не встречать Зеленского у самолета,https://lenta.ru/news/2026/03/17/predstaviteli-evropeyskoy-strany-reshili-ne-vstrechat-zelenskogo-u-samoleta/,2026-03-17 15:29:00,Мир,parsed_rss:lenta
Стали известны подробности о превращенной аферистами в киллера российской студентке,Стали известны подробности о превращенной аферистами в киллера российской студентке,Стали известны подробности о превращенной аферистами в киллера российской студентке,https://lenta.ru/news/2026/03/17/stali-izvestny-podrobnosti-o-prevraschennoy-aferistami-v-killera-rossiyskoy-studentki/,2026-03-17 15:24:00,Силовые структуры,parsed_rss:lenta
Под машиной россиянки с фамилией Зеленская нашли подозрительный предмет,Под машиной россиянки с фамилией Зеленская нашли подозрительный предмет,Под машиной россиянки с фамилией Зеленская нашли подозрительный предмет,https://lenta.ru/news/2026/03/17/pod-mashinoy-rossiyanki-s-familiey-zelenskaya-nashli-podozritelnyy-predmet/,2026-03-17 15:23:00,Силовые структуры,parsed_rss:lenta
Сестра Димы Билана попросила его перестать помогать ей с карьерой на сцене,Сестра Димы Билана попросила его перестать помогать ей с карьерой на сцене,Сестра Димы Билана попросила его перестать помогать ей с карьерой на сцене,https://lenta.ru/news/2026/03/17/sestra-dimy-bilana-poprosila-ego-perestat-pomogat-ey-s-karieroy-na-stsene/,2026-03-17 15:21:00,Культура,parsed_rss:lenta
Малышева назвала самое глупое действие россиян,Малышева назвала самое глупое действие россиян,Малышева назвала самое глупое действие россиян,https://lenta.ru/news/2026/03/17/malysheva-nazvala-samoe-glupoe-deystvie-rossiyan/,2026-03-17 15:21:00,Интернет и СМИ,parsed_rss:lenta
Канадский игрок ХК «Сочи» назвал хоккей самым популярным видом спорта в России,Канадский игрок ХК «Сочи» назвал хоккей самым популярным видом спорта в России,Канадский игрок ХК «Сочи» назвал хоккей самым популярным видом спорта в России,https://lenta.ru/news/2026/03/17/kanadskiy-igrok-hk-sochi-nazval-hokkey-samym-populyarnym-vidom-sporta-v-rossii/,2026-03-17 15:20:00,Спорт,parsed_rss:lenta
Мужчина насмерть забил возлюбленную бутылкой шампанского в номере роскошного отеля,Мужчина насмерть забил возлюбленную бутылкой шампанского в номере роскошного отеля,Мужчина насмерть забил возлюбленную бутылкой шампанского в номере роскошного отеля,https://lenta.ru/news/2026/03/17/muzhchina-nasmert-zabil-vozlyublennuyu-butylkoy-shampanskogo-v-nomere-roskoshnogo-otelya/,2026-03-17 15:19:00,Путешествия,parsed_rss:lenta
В российской квартире найден изрезанный 12-летний школьник,В российской квартире найден изрезанный 12-летний школьник,В российской квартире найден изрезанный 12-летний школьник,https://lenta.ru/news/2026/03/17/v-rossiyskoy-kvartire-nayden-izrezannyy-12-letniy-shkolnik/,2026-03-17 15:19:00,Силовые структуры,parsed_rss:lenta
Анна Семенович сравнила себя с Пьеро после похода к косметологу,Анна Семенович сравнила себя с Пьеро после похода к косметологу,Анна Семенович сравнила себя с Пьеро после похода к косметологу,https://lenta.ru/news/2026/03/17/anna-semenovich-sravnila-sebya-s-piero-posle-pohoda-k-kosmetologu/,2026-03-17 15:18:00,Ценности,parsed_rss:lenta
В России заметили риски резкого роста дефицита бюджета,В России заметили риски резкого роста дефицита бюджета,В России заметили риски резкого роста дефицита бюджета,https://lenta.ru/news/2026/03/17/mnogovato/,2026-03-17 15:18:00,Экономика,parsed_rss:lenta
На Украине высказались о возможности Киева помочь Израилю,На Украине высказались о возможности Киева помочь Израилю,На Украине высказались о возможности Киева помочь Израилю,https://lenta.ru/news/2026/03/17/na-ukraine-vyskazalis-o-vozmozhnosti-kieva-pomoch-izrailyu/,2026-03-17 15:18:00,Бывший СССР,parsed_rss:lenta
Франция ответила на просьбу Трампа,Франция ответила на просьбу Трампа,Франция ответила на просьбу Трампа,https://lenta.ru/news/2026/03/17/frantsiya-otvetila-na-prosbu-trampa/,2026-03-17 15:17:00,Мир,parsed_rss:lenta
У сына задержанного российского министра нашли элитное имущество,У сына задержанного российского министра нашли элитное имущество,У сына задержанного российского министра нашли элитное имущество,https://lenta.ru/news/2026/03/17/u-syna-zaderzhannogo-rossiyskogo-ministra-nashli-elitnoe-imuschestvo/,2026-03-17 15:11:00,Силовые структуры,parsed_rss:lenta
Названо условие подорожания доллара до 100 рублей,Названо условие подорожания доллара до 100 рублей,Названо условие подорожания доллара до 100 рублей,https://lenta.ru/news/2026/03/17/nazvano-uslovie-podorozhaniya-dollara-do-100-rubley/,2026-03-17 15:11:00,Экономика,parsed_rss:lenta
В России объяснили согласие Украины восстановить нефтепровод «Дружба»,В России объяснили согласие Украины восстановить нефтепровод «Дружба»,В России объяснили согласие Украины восстановить нефтепровод «Дружба»,https://lenta.ru/news/2026/03/17/v-rossii-ob-yasnili-soglasie-ukrainy-vosstanovit-nefteprovod-druzhba/,2026-03-17 15:11:00,Россия,parsed_rss:lenta
Раскрыты подробности о личности сообщницы расправившегося с москвичкой футболиста,Раскрыты подробности о личности сообщницы расправившегося с москвичкой футболиста,Раскрыты подробности о личности сообщницы расправившегося с москвичкой футболиста,https://lenta.ru/news/2026/03/17/raskryty-podrobnosti-o-lichnosti-soobschnitsy-raspravivshegosya-s-moskvichkoy-futbolista/,2026-03-17 15:10:00,Силовые структуры,parsed_rss:lenta
Иран предупредил США о последствиях отправки кораблей в Ормузский пролив,Иран предупредил США о последствиях отправки кораблей в Ормузский пролив,Иран предупредил США о последствиях отправки кораблей в Ормузский пролив,https://lenta.ru/news/2026/03/17/iran-predupredil-ssha-o-posledstviyah-otpravki-korabley-v-ormuzskiy-proliv/,2026-03-17 15:09:00,Мир,parsed_rss:lenta
В России пациент после пересадки рук впервые смог самостоятельно держать предметы,В России пациент после пересадки рук впервые смог самостоятельно держать предметы,В России пациент после пересадки рук впервые смог самостоятельно держать предметы,https://lenta.ru/news/2026/03/17/v-rossii-patsient-posle-peresadki-ruk-vpervye-smog-samostoyatelno-derzhat-predmety/,2026-03-17 15:08:00,Наука и техника,parsed_rss:lenta
Названы неожиданные последствия устроенных США беспорядков,Названы неожиданные последствия устроенных США беспорядков,Названы неожиданные последствия устроенных США беспорядков,https://lenta.ru/news/2026/03/17/nazvany-neozhidannye-posledstviya-ustroennyh-ssha-besporyadkov/,2026-03-17 15:06:00,Мир,parsed_rss:lenta
Россиянам назвали причины срочной продажи квартиры,Россиянам назвали причины срочной продажи квартиры,Россиянам назвали причины срочной продажи квартиры,https://lenta.ru/news/2026/03/17/kv-srochno/,2026-03-17 15:04:00,Экономика,parsed_rss:lenta
Нетаньяху обратился к народу Ирана,Нетаньяху обратился к народу Ирана,Нетаньяху обратился к народу Ирана,https://lenta.ru/news/2026/03/17/netanyahu-obratilsya-k-narodu-irana/,2026-03-17 15:02:04,Мир,parsed_rss:lenta
Наследник последнего иранского шаха обрадовался гибели серого кардинала Ирана,Наследник последнего иранского шаха обрадовался гибели серого кардинала Ирана,Наследник последнего иранского шаха обрадовался гибели серого кардинала Ирана,https://lenta.ru/news/2026/03/17/naslednik-poslednego-iranskogo-shaha-obradovalsya-gibeli-serogo-kardinala-irana/,2026-03-17 15:02:00,Мир,parsed_rss:lenta
Зимбабве захотела ввести безвизовый режим для россиян,Зимбабве захотела ввести безвизовый режим для россиян,Зимбабве захотела ввести безвизовый режим для россиян,https://lenta.ru/news/2026/03/17/zimbabve-zahotela-vvesti-bezvizovyy-rezhim-dlya-rossiyan/,2026-03-17 15:00:00,Путешествия,parsed_rss:lenta
Стало известно о смерти трех человек на российском нефтеперерабатывающем заводе,Стало известно о смерти трех человек на российском нефтеперерабатывающем заводе,Стало известно о смерти трех человек на российском нефтеперерабатывающем заводе,https://lenta.ru/news/2026/03/17/stalo-izvestno-o-smerti-treh-chelovek-na-rossiyskom-neftepererabatyvayuschem-zavode/,2026-03-17 15:00:00,Россия,parsed_rss:lenta
В сети распространились фейковые данные о сифилисе в армии,В сети распространились фейковые данные о сифилисе в армии,В сети распространились фейковые данные о сифилисе в армии,https://lenta.ru/news/2026/03/17/v-seti-rasprostranilis-feykovye-dannye-o-sifilise-v-armii/,2026-03-17 14:59:00,Интернет и СМИ,parsed_rss:lenta
Украинский военнослужащий подорвал гранату у дома в Запорожье,Украинский военнослужащий подорвал гранату у дома в Запорожье,Украинский военнослужащий подорвал гранату у дома в Запорожье,https://lenta.ru/news/2026/03/17/ukrainskiy-voennosluzhaschiy-podorval-granatu-u-doma-v-zaporozhie/,2026-03-17 14:59:00,Бывший СССР,parsed_rss:lenta
